Name,Gender,Count,Year
Cassidy,F,1308,2014
Jacqueline,F,1308,2014
Vivienne,F,1297,2014
Noelle,F,1292,2014
Camille,F,1288,2014
Josie,F,1285,2014
Teagan,F,1283,2014
Adrianna,F,1280,2014
Annabella,F,1277,2014
Allie,F,1276,2014
Juliette,F,1272,2014
Kendra,F,1271,2014
Juliet,F,1268,2014
Sienna,F,1264,2014
Brynn,F,1257,2014
Kali,F,1256,2014
Danielle,F,1242,2014
Maci,F,1238,2014
Jenna,F,1234,2014
Haley,F,1233,2014
Raelynn,F,1231,2014
Delaney,F,1230,2014
Paris,F,1226,2014
Alexia,F,1223,2014
Lyric,F,1219,2014
Gemma,F,1218,2014
Lilliana,F,1213,2014
Angel,F,1200,2014
Chelsea,F,1194,2014
Evangeline,F,1187,2014
Ayla,F,1182,2014
Kayleigh,F,1172,2014
Lena,F,1167,2014
Katie,F,1165,2014
Elaina,F,1151,2014
Olive,F,1151,2014
Madeleine,F,1149,2014
Dakota,F,1147,2014
Makenna,F,1146,2014
Elsa,F,1140,2014
Nova,F,1132,2014
Nadia,F,1124,2014
Kaydence,F,1121,2014
Journey,F,1120,2014
Alison,F,1118,2014
Jada,F,1117,2014
Kathryn,F,1113,2014
Shelby,F,1110,2014
Nina,F,1106,2014
Phoebe,F,1103,2014
Elliana,F,1102,2014
Diana,F,1092,2014
Skyler,F,1083,2014
Alessandra,F,1081,2014
Eloise,F,1081,2014
Nyla,F,1080,2014
Madilyn,F,1077,2014
Miriam,F,1070,2014
Amber,F,1064,2014
Adelynn,F,1061,2014
Megan,F,1061,2014
Ashlyn,F,1059,2014
Ruth,F,1059,2014
Rosalie,F,1058,2014
Amiyah,F,1057,2014
Annie,F,1055,2014
Charlee,F,1054,2014
Amanda,F,1053,2014
Adelaide,F,1050,2014
Laura,F,1049,2014
Lilah,F,1049,2014
June,F,1048,2014
Daniella,F,1042,2014
Mikayla,F,1036,2014
Jane,F,1026,2014
Raegan,F,1025,2014
Christina,F,1022,2014
Erin,F,1021,2014
Joanna,F,1021,2014
Ashlynn,F,1020,2014
Haven,F,1018,2014
Kelsey,F,1017,2014
Talia,F,1013,2014
Fatima,F,1012,2014
Allyson,F,1011,2014
Mariana,F,1009,2014
Sabrina,F,1008,2014
Elsie,F,1004,2014
Cadence,F,1003,2014
Ainsley,F,1001,2014
Noah,M,19305,2014
Liam,M,18462,2014
Mason,M,17201,2014
Jacob,M,16883,2014
William,M,16820,2014
Ethan,M,15724,2014
Michael,M,15454,2014
Alexander,M,15414,2014
James,M,14431,2014
Daniel,M,13937,2014
Elijah,M,13832,2014
Benjamin,M,13801,2014
Logan,M,13648,2014
Aiden,M,13402,2014
Jayden,M,12966,2014
Matthew,M,12912,2014
Jackson,M,12219,2014
David,M,12214,2014
Lucas,M,12158,2014
Joseph,M,12118,2014
Anthony,M,11580,2014
Andrew,M,11159,2014
Samuel,M,10995,2014
Gabriel,M,10918,2014
Joshua,M,10901,2014
John,M,10691,2014
Carter,M,10677,2014
Luke,M,10506,2014
Dylan,M,10410,2014
Christopher,M,10352,2014
Isaac,M,9977,2014
Oliver,M,9439,2014
Henry,M,9432,2014
Sebastian,M,9306,2014
Caleb,M,9225,2014
Owen,M,9150,2014
Ryan,M,9085,2014
Nathan,M,8976,2014
Wyatt,M,8874,2014
Hunter,M,8812,2014
Jack,M,8747,2014
Christian,M,8455,2014
Landon,M,8226,2014
Jonathan,M,8106,2014
Levi,M,8050,2014
Jaxon,M,7701,2014
Julian,M,7671,2014
Isaiah,M,7620,2014
Eli,M,7488,2014
Aaron,M,7392,2014
Charles,M,7345,2014
Connor,M,7223,2014
Cameron,M,7056,2014
Thomas,M,7028,2014
Jeremiah,M,6874,2014
Jordan,M,6869,2014
Nicholas,M,6765,2014
Evan,M,6717,2014
Adrian,M,6690,2014
Robert,M,6640,2014
Gavin,M,6618,2014
Brayden,M,6580,2014
Grayson,M,6571,2014
Josiah,M,6458,2014
Colton,M,6389,2014
Austin,M,6304,2014
Angel,M,6303,2014
Jace,M,6289,2014
Dominic,M,6252,2014
Kevin,M,5896,2014
Brandon,M,5840,2014
Tyler,M,5830,2014
Parker,M,5712,2014
Ayden,M,5619,2014
Jason,M,5555,2014
Jose,M,5480,2014
Ian,M,5455,2014
Chase,M,5355,2014
Adam,M,5328,2014
Hudson,M,5238,2014
Nolan,M,5204,2014
Zachary,M,5181,2014
Easton,M,4983,2014
Blake,M,4943,2014
Jaxson,M,4931,2014
Cooper,M,4842,2014
Lincoln,M,4820,2014
Xavier,M,4771,2014
Bentley,M,4768,2014
Kayden,M,4726,2014
Carson,M,4618,2014
Brody,M,4323,2014
Asher,M,4321,2014
Nathaniel,M,4304,2014
Ryder,M,4102,2014
Justin,M,4029,2014
Leo,M,3966,2014
Tristan,M,3911,2014
Juan,M,3899,2014
Luis,M,3899,2014
Camden,M,3890,2014
Damian,M,3878,2014
Elias,M,3777,2014
Vincent,M,3760,2014
Jase,M,3744,2014
Mateo,M,3741,2014
Maxwell,M,3734,2014
Miles,M,3681,2014
Micah,M,3659,2014
Sawyer,M,3593,2014
Jesus,M,3521,2014
Max,M,3493,2014
Roman,M,3467,2014
Leonardo,M,3447,2014
Santiago,M,3424,2014
Cole,M,3423,2014
Carlos,M,3420,2014
Bryson,M,3419,2014
Ezra,M,3415,2014
Braxton,M,3350,2014
Brantley,M,3348,2014
Declan,M,3318,2014
Eric,M,3314,2014
Kaiden,M,3264,2014
Giovanni,M,3240,2014
Theodore,M,3223,2014
Harrison,M,3203,2014
Alex,M,3181,2014
Diego,M,3170,2014
Wesley,M,3139,2014
Bryce,M,3114,2014
Ivan,M,3077,2014
Greyson,M,3045,2014
Timothy,M,3009,2014
George,M,3004,2014
Weston,M,2964,2014
Silas,M,2929,2014
Jonah,M,2913,2014
Antonio,M,2892,2014
Colin,M,2883,2014
